time_min,water_uptake,TPV,HPV
95,0.291081871,24.9,28.87
95.5,0.289181287,24.89,28.37
96,0.29005848,24.88,27.93
96.5,0.289766082,24.9,27.53
97,0.286842105,24.91,26.97
97.5,0.288304094,24.91,26.56
98,0.287134503,24.92,26.2
98.5,0.285672515,24.93,25.87
99,0.287865497,24.92,25.29
99.5,0.285818713,24.9,24.85
100,0.286988304,24.9,24.47
100.5,0.285964912,24.9,24.12
101,0.284502924,24.9,23.63
101.5,0.283187135,24.9,23.23
102,0.282748538,24.91,22.86
102.5,0.282748538,24.92,22.55
103,0.283333333,24.91,22.13
103.5,0.281725146,24.9,21.74
104,0.281725146,24.89,21.4
104.5,0.280409357,24.9,21.13
105,0.279532164,24.92,20.82
105.5,0.280994152,24.91,20.48
106,0.279385965,24.92,20.19
106.5,0.277777778,24.93,19.96
107,0.276169591,24.93,19.71
107.5,0.276315789,24.92,19.43
108,0.275730994,24.93,19.2
108.5,0.278070175,24.95,18.96
109,0.276315789,24.96,18.75
109.5,0.275730994,24.95,18.58
110,0.273538012,24.95,18.43
110.5,0.276169591,24.96,18.26
111,0.272076023,24.97,18.12
111.5,0.272807018,24.98,17.97
112,0.272807018,24.99,17.86
112.5,0.274122807,24.99,17.73
113,0.272222222,25,17.61
113.5,0.270321637,24.99,17.49
114,0.271491228,24.99,17.37
114.5,0.270467836,24.99,17.27
115,0.267690058,24.98,17.15
115.5,0.269883041,24.97,17.08
116,0.269298246,24.93,16.97
116.5,0.268859649,24.9,16.89
117,0.267982456,24.91,16.81
117.5,0.266959064,24.94,16.7
118,0.267105263,24.97,16.6
118.5,0.267982456,24.98,16.48
119,0.266666667,24.99,16.39
119.5,0.265497076,25,16.31
120,0.265350877,25,16.23
120.5,0.266374269,24.98,16.16
121,0.265789474,24.98,16.09
121.5,0.262426901,24.98,16.01
122,0.265789474,24.99,15.94
122.5,0.264619883,24.99,15.87
123,0.265789474,25,15.78
123.5,0.264035088,25.06,15.7
124,0.264912281,25.08,15.62
124.5,0.264619883,25.07,15.55
125,0.264766082,25.05,15.48
125.5,0.263157895,25.01,15.41
126,0.263450292,24.94,15.34
126.5,0.262280702,24.89,15.26
127,0.262134503,24.89,15.19
127.5,0.26125731,24.92,15.13
128,0.26374269,24.95,15.04
128.5,0.262426901,24.96,14.98
129,0.262426901,24.99,14.88
129.5,0.260380117,25.01,14.81
130,0.262280702,25,14.75
130.5,0.262134503,25,14.69
131,0.261549708,25,14.61
131.5,0.25994152,24.99,14.54
132,0.262719298,24.99,14.48
132.5,0.260964912,25,14.42
133,0.259210526,25.01,14.35
133.5,0.260672515,25,14.27
134,0.258333333,24.98,14.22
134.5,0.261111111,24.99,14.16
135,0.25994152,25.01,14.11
135.5,0.259064327,25.01,14.04
136,0.260818713,25.01,13.96
136.5,0.258479532,24.99,13.89
137,0.25877193,24.97,13.83
137.5,0.258479532,24.95,13.79
138,0.257309942,24.97,13.75
138.5,0.258187135,25,13.68
139,0.257602339,25.07,13.62
139.5,0.25745614,25.09,13.58
140,0.256871345,25.07,13.53
140.5,0.257309942,25.03,13.47
141,0.255847953,25.02,13.43
141.5,0.257309942,24.95,13.37
142,0.257163743,24.88,13.33
142.5,0.256725146,24.87,13.27
143,0.255994152,24.91,13.21
143.5,0.254093567,24.95,13.15
144,0.253654971,24.98,13.08
144.5,0.255847953,25.07,13.06
145,0.255994152,25.11,12.99
145.5,0.255116959,25.09,12.94
146,0.255116959,25.05,12.9
146.5,0.255116959,24.96,12.87
147,0.254678363,24.92,12.82
147.5,0.25380117,24.99,12.81
148,0.253947368,25.03,12.75
148.5,0.252631579,25.02,12.7
149,0.25380117,24.99,12.64
149.5,0.254093567,24.97,12.6
150,0.25380117,24.97,12.56
150.5,0.25380117,24.99,12.52
151,0.252777778,25.01,12.47
151.5,0.252631579,25,12.45
152,0.25380117,25.01,12.4
152.5,0.25248538,25,12.35
153,0.251461988,25,12.31
153.5,0.251315789,24.99,12.27
154,0.252192982,24.97,12.21
154.5,0.252046784,24.97,12.21
155,0.251169591,24.97,12.15
155.5,0.251315789,25,12.11
156,0.248391813,25.07,12.07
156.5,0.249122807,25.08,12.02
157,0.250584795,25.07,11.99
157.5,0.250146199,25.03,11.94
158,0.251023392,25,11.93
158.5,0.249707602,24.97,11.89
159,0.250877193,24.95,11.85
159.5,0.249853801,24.96,11.82
160,0.249561404,25,11.8
160.5,0.248538012,25.02,11.74
161,0.249269006,25.03,11.71
161.5,0.248245614,25.03,11.68
162,0.249269006,25.01,11.66
162.5,0.245760234,25,11.63
163,0.25,24.99,11.6
163.5,0.248976608,24.97,11.56
164,0.247953216,24.98,11.54
164.5,0.247368421,24.98,11.5
165,0.246783626,24.98,11.48
165.5,0.247222222,24.97,11.46
166,0.247222222,24.98,11.42
166.5,0.246637427,24.99,11.4
167,0.247953216,24.99,11.38
167.5,0.24751462,24.99,11.34
168,0.246929825,25,11.33
168.5,0.248391813,25.02,11.29
169,0.245321637,25.02,11.26
169.5,0.246929825,25.01,11.24
170,0.246052632,24.99,11.21
170.5,0.246345029,24.98,11.19
171,0.246491228,24.99,11.17
171.5,0.244152047,24.99,11.12
172,0.245614035,24.99,11.09
172.5,0.246345029,24.98,11.07
173,0.244444444,24.97,11.04
173.5,0.245321637,24.96,11
174,0.243859649,24.96,10.98
174.5,0.243859649,24.99,10.98
175,0.24502924,25.01,10.95
175.5,0.243421053,25.02,10.92
176,0.244444444,25.01,10.92
176.5,0.243567251,25.01,10.88
177,0.244005848,25.01,10.87
177.5,0.243274854,25.02,10.85
178,0.244883041,25.01,10.83
178.5,0.243859649,25.01,10.8
179,0.242251462,25,10.78
179.5,0.243421053,24.99,10.76
180,0.241959064,24.99,10.74
180.5,0.242836257,24.98,10.71
181,0.242397661,24.99,10.7
181.5,0.243421053,24.99,10.68
182,0.243128655,24.98,10.64
182.5,0.242397661,24.98,10.63
183,0.241081871,24.98,10.61
183.5,0.24254386,24.97,10.57
184,0.240789474,24.98,10.57
184.5,0.241812865,24.99,10.54
185,0.240789474,24.98,10.52
185.5,0.238450292,24.99,10.49
186,0.239181287,24.99,10.47
186.5,0.23874269,24.99,10.46
187,0.241081871,24.98,10.43
187.5,0.240789474,24.98,10.4
188,0.239473684,24.98,10.39
188.5,0.240643275,24.98,10.36
189,0.239619883,25.01,10.34
189.5,0.238304094,25.01,10.3
190,0.239912281,25.01,10.28
190.5,0.23874269,25.01,10.27
191,0.239766082,25.01,10.24
191.5,0.238450292,25,10.2
192,0.238888889,24.99,10.2
192.5,0.237865497,24.98,10.19
193,0.234502924,24.99,10.18
193.5,0.237865497,24.99,10.16
194,0.237719298,25,10.13
194.5,0.238596491,25.01,10.1
195,0.238157895,25.01,10.06
195.5,0.237280702,25.01,10.06
196,0.238157895,25,10.04
196.5,0.236549708,24.99,10.03
197,0.236549708,24.99,10.03
197.5,0.237573099,25,10.01
198,0.236111111,25,9.98
198.5,0.235818713,25,9.96
199,0.237280702,25,9.95
199.5,0.232602339,25.01,9.95
200,0.235818713,25,9.93
200.5,0.233625731,24.99,9.9
201,0.236111111,25,9.89
201.5,0.235818713,25,9.87
202,0.238450292,24.97,9.84
202.5,0.238596491,24.97,9.84
203,0.240643275,24.97,9.84
203.5,0.240497076,24.96,9.84
204,0.242836257,25.15,11.34
204.5,0.244005848,26.1,18.82
205,0.248391813,26.47,20.5
205.5,0.250146199,26.02,21.21
206,0.248099415,25.54,22.51
206.5,0.252923977,25.22,23.42
207,0.254532164,25.06,24.09
207.5,0.256725146,25.04,24.69
208,0.259064327,25.04,25.39
208.5,0.260672515,25.09,26.21
209,0.261403509,25.13,27.28
209.5,0.262865497,25.16,28.36
210,0.264912281,25.17,29.39
210.5,0.265643275,25.18,30.48
211,0.268421053,25.19,31.34
211.5,0.269298246,25.16,32.21
212,0.271345029,25.15,33.06
212.5,0.27002924,25.13,33.63
213,0.273099415,25.12,34.11
213.5,0.274122807,25.11,34.62
214,0.275146199,25.09,35.01
214.5,0.275730994,25.07,35.53
215,0.276608187,25.07,35.97
215.5,0.275877193,25.06,36.39
216,0.275438596,25.05,36.74
216.5,0.279093567,24.89,33.87
217,0.278070175,24.68,32.4
217.5,0.279385965,24.61,32.03
218,0.278508772,24.67,31.83
218.5,0.277046784,24.75,31.56
219,0.278654971,24.85,31.46
219.5,0.278947368,24.92,31.41
220,0.279824561,24.95,31.2
220.5,0.280409357,24.96,31.12
221,0.280994152,24.97,31.3
221.5,0.282017544,24.99,31.48
222,0.282602339,25.02,31.77
222.5,0.282602339,25.05,32.14
223,0.283625731,25.07,32.41
223.5,0.282163743,25.07,32.79
224,0.282602339,25.06,33.26
224.5,0.285526316,25.04,33.88
225,0.283187135,25.05,34.65
225.5,0.285818713,25.08,35.37
226,0.287865497,25.09,36.09
226.5,0.289181287,25.08,36.95
227,0.288304094,25.08,38.05
227.5,0.291081871,25.1,39.13
228,0.289766082,25.1,40.26
228.5,0.290789474,25.11,41.33
229,0.292105263,25.13,42.47
229.5,0.292397661,25.12,43.46
230,0.291959064,25.11,44.54
230.5,0.294152047,25.11,45.5
231,0.294444444,25.11,46.57
231.5,0.294590643,25.11,47.57
232,0.296929825,25.12,48.5
232.5,0.295906433,25.1,49.17
233,0.295906433,25.09,49.9
233.5,0.297660819,25.08,50.54
234,0.296345029,25.06,50.95
234.5,0.298976608,25.05,51.48
235,0.297368421,25.03,51.91
235.5,0.299415205,25.03,52.67
236,0.300877193,25.05,53.36
236.5,0.301169591,25.05,53.83
237,0.299269006,25.04,54.06
237.5,0.301023392,25.03,54.34
238,0.3,25.03,55.12
238.5,0.302777778,25.05,55.6
239,0.301169591,25.07,56.37
239.5,0.303508772,25.08,56.75
240,0.303216374,25.08,57.11
240.5,0.302631579,25.06,57.7
241,0.304824561,25.06,58.46
241.5,0.303947368,25.05,59.13
242,0.304678363,25.05,59.75
242.5,0.304678363,25.06,60.25
243,0.307017544,25.06,60.85
243.5,0.306725146,25.05,61.4
244,0.305555556,25.04,62.02
244.5,0.305994152,25.03,62.58
245,0.305847953,25.04,63.3
245.5,0.307163743,25.06,64.03
246,0.308625731,25.08,64.77
246.5,0.308333333,25.08,65.39
247,0.30877193,25.07,66.05
247.5,0.310087719,25.07,66.68
248,0.309064327,25.06,67.39
248.5,0.308918129,25.06,68.07
249,0.310672515,25.06,68.73
249.5,0.309649123,25.06,69.45
250,0.312573099,25.06,70.05
250.5,0.31125731,25.07,70.96
251,0.313450292,25.08,71.4
251.5,0.314035088,25.07,72.02
252,0.313450292,25.07,72.67
252.5,0.313450292,25.07,73.33
253,0.315935673,25.06,73.99
253.5,0.314912281,25.05,74.61
254,0.316081871,25.05,75.25
254.5,0.314181287,25.06,75.9
255,0.316374269,25.06,76.55
255.5,0.316081871,25.06,77.26
256,0.314619883,25.07,78.11
256.5,0.319005848,25.08,78.65
257,0.319590643,25.07,79.39
257.5,0.319005848,25.07,79.9
258,0.317836257,25.06,80.47
258.5,0.319444444,25.05,81.12
259,0.322222222,25.06,82.02
259.5,0.321052632,25.07,82.76
260,0.320467836,25.08,83.73
260.5,0.323391813,25.11,85.09
261,0.321929825,25.13,85.87
261.5,0.323538012,25.11,86.14
262,0.325,25.07,86.3
262.5,0.325584795,25.03,86.81
263,0.326023392,25.02,87.31
263.5,0.323976608,25.02,87.89
264,0.327631579,25.03,88.65
264.5,0.326608187,25.05,88.92
265,0.327777778,25.05,89.26
265.5,0.328216374,25.05,89.73
266,0.326754386,25.04,90.15
266.5,0.328070175,25.05,90.57
267,0.328508772,25.04,90.78
267.5,0.327339181,25.02,90.73
